Country Name,Country Code,Region,Sub-Region,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Austria,AUT,Europe,Western Europe,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,11827977058,12911210328,18193955715,16741449885,17903949015,22241623425,24768999165,27211429628,23316756962,25001493235,22239731668,23255493381,21565331649,23190665221,23616397438,30439562425,33957000221,33077693776,31212271322,35405646262
Austria,AUT,Europe,Western Europe,Total reserves minus gold (current US$),FI.RES.XGLD.CD,6839052058,7010007228,10688538215,8911960385,8114274015,9589312425,10986937165,12232101628,12473847962,14145081235,12697611668,12940101581,9894238649,11653251921,9906351438,13415880225,17572460021,16762919076,12646546522,11918528062
Austria,AUT,Europe,Western Europe,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.320365143,3.269336015,3.775224687,1.453305621,-3.586264726,1.80898243,2.927468002,0.628246239,-0.250726423,0.75579885,1.303523318,2.117219645,2.27224992,2.484221141,1.754976196,-6.318255092,4.795328857,5.277894485,-0.954962529,-1.173540536
Austria,AUT,Europe,Western Europe,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,40989.01318,42120.1557,43568.83022,44063.8642,42372.47583,43035.40735,44146.19568,44221.45995,43851.36755,43838.83459,43915.22802,44362.67028,45056.63859,45951.58192,46550.56225,43428.69831,45313.3989,47250.9696,46338.95706,45562.04069
Austria,AUT,Europe,Western Europe,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3.37251E+11,3.48276E+11,3.61425E+11,3.66677E+11,3.53527E+11,3.59922E+11,3.70459E+11,3.72787E+11,3.71852E+11,3.74662E+11,3.79546E+11,3.87582E+11,3.96389E+11,4.06236E+11,4.13365E+11,3.87248E+11,4.05818E+11,4.27236E+11,4.23156E+11,4.1819E+11
Austria,AUT,Europe,Western Europe,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.98531598,3.292508678,3.813488286,4.496156981,2.580510839,2.942948518,1.585010118,1.510000176,1.752992335,2.313938755,1.588326801,2.57148777,1.244445917,0.908176708,2.384230453,3.351377997,1.715899468,-0.82908661,1.325563772,2.423465854
Austria,AUT,Europe,Western Europe,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Austria,AUT,Europe,Western Europe,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,3.227548558,3.62058655,4.416008042,4.453078322,3.373328262,3.52308167,2.809055394,2.810193493,2.794267955,3.215574203,3.674442798,3.753309569,3.095992595,3.026508975,3.584329881,3.377965831,0.874450669,-0.458104664,2.115213833,3.311410398
Austria,AUT,Europe,Western Europe,GDP per capita (current US$),NY.GDP.PCAP.CD,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379,56833.19605
Austria,AUT,Europe,Western Europe,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.625659096,2.759623701,3.439385492,1.136211312,-3.838493076,1.564533379,2.581103319,0.170488694,-0.836906795,-0.028580547,0.174259723,1.018877232,1.564306897,1.986262964,1.303503176,-6.706393611,4.339758399,4.275933279,-1.930145664,-1.676594419
